Date,123,124,125,126,127,128,129,130,131,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422
0009,105.08,98.09,106.2,104.68,98.18,130.78,128,127.22,86.72,93.43,91.57,111.75,109.23,345.29,102.8,103.63,294.92,789.38,95.52,94.71,109.6,94.99,100.56,98,99.28,101.64,443.26,102.87,102.61,92.59,102.77,104.89,105.55,98.59,1001.3,122.12,100.4,95.81,119.54,111.3,99.99,91.79,104.47,99.91,98.67,115.61,96.32,102.3,107.94,466.81,103.44,96.58,96.73,105.58,93.87,92.11,517.43,100.98,106.45,98.82,98.2,112.35,534.81,490.12,168.95,96.97,102.98,95.24,145.26,131.48,145.61,91.99,96.47,454.93,95.18,96.89,101,92.23,94.05,661.54,99.82,111.07,104.96,99.36,111.15,115.41,103.53,101.53,1012.1,88.46
0010,98.56,112,104.28,109.19,114.14,133.35,132.37,134.06,90.16,434.56,371.92,500.93,107.66,94.05,99.81,104.17,256.63,102.9,103.81,104.21,106,671.33,103.44,551.69,107.42,94.55,93.71,105.34,700.69,102.65,98.58,114.88,98.22,101.86,102.01,94.97,126.04,116.7,120.77,101.77,88.78,112.8,855.02,693.5,119.41,105.64,100.81,106.3,102.87,106.9,135.2,594.81,106.14,96.74,531.29,102.67,105.39,109.91,669.49,93.05,92.16,109.22,129.6,126.59,180.05,101.49,105.74,104.69,132,575.27,133.93,95.06,119.88,105.46,100.55,490.69,113.27,96.97,102.1,104.56,111.85,93.56,100.47,102.68,106.06,102.4,116.29,114.94,97.08,126.73
0011,448.71,109.93,112.11,123.42,105.16,139.87,166.96,138.58,88.85,102.33,107.71,100.67,112.25,102.65,104.07,112.64,285.56,105.87,102.03,1146,97.97,105.2,112.52,101.91,108.47,110.32,105.62,500.2,103.06,103.23,97.49,110.5,99.32,95.08,120.82,104.03,122.61,103.1,99.16,124.27,96.83,119.06,111.94,118.19,116,549.85,100.2,95.44,106.92,93.24,102.22,104.67,536.17,107.4,110.74,100.36,99.67,96.16,108.08,97.5,95.3,102.79,112.64,101.76,105.79,104.78,101,114.22,123.38,538.29,137.41,100.83,118.7,479.9,92.68,98.16,120.31,98.09,120.28,104.88,589.28,101.18,102.12,89.72,101.08,102.16,108.3,106.41,98.09,104.95
0012,94.8,114.33,514.76,91.7,95.41,124.91,133.03,552.93,95.23,101.47,100.21,95,107.28,108.29,97.01,107.81,289.37,114.82,105.5,112.67,95.36,744.3,702.32,102.04,96.91,104.7,106.7,97.6,95.2,106.14,95.43,113.45,95.46,123.03,96.67,590.78,99.38,104.12,105.49,106.65,608.99,102.14,93.03,106.05,97.76,101.28,102.9,89.15,483.96,96.52,100.16,97.89,98,437.78,93.52,633.29,98.87,96.38,107.76,106.23,92.41,99.59,103.57,104.07,102.34,117.51,494.16,101.31,586.67,129.62,146.92,99.8,98,95.69,96.17,138.88,98.4,90.93,99.01,104,103.57,118.05,101.33,97.72,97.68,100.16,110.35,98.66,101.95,99.08
0013,105.25,580.96,458.38,99.44,105.79,127.14,132.8,137.89,505.09,101.6,433.59,98.2,94.78,97.41,100.6,313.53,103.41,100.64,687.19,611.31,103.44,103.27,108.43,95.24,97.21,99.19,502.04,98.94,111.17,103.29,525.09,95.74,529.28,615.44,100.2,103.13,98.98,99.4,587.47,567.24,102.68,102.04,92.74,105.89,122.14,101.38,109.56,814.59,475.15,453.88,94.82,96.95,493.19,101.26,107.68,103.75,100.54,106.19,101.28,96.42,96.14,102.31,106.63,496.7,96.03,100.02,95.17,95.87,132.49,147.71,133.09,90.93,102.71,475.56,96.34,117.32,104.03,97.15,108.12,97.39,126.14,95.63,92.26,94.93,97.82,103.46,97.32,95.7,123.24,106.29
0014,521.4,702.09,95.76,101.13,104.06,131.11,479.79,132.48,533.68,103.35,103.7,95.38,100.91,436.85,323.84,100.9,286.57,103.22,99.18,119.94,118.27,102.14,156.54,687.03,98.79,100.4,103.44,503.27,99.33,105.52,100.41,96.92,101.21,95.74,131.98,109.93,528.34,103.36,117.77,104.93,99.53,94.02,93.63,95.48,107.75,485.44,104.05,98.5,96.74,96.99,100.29,105.39,98.18,107.88,103.27,92.01,100.96,89.59,106.51,102,87.88,96.23,95.23,109.54,95.3,99.94,588.18,119.14,126,143.26,138.19,88.51,100.6,106.48,103.94,119.89,99.21,558.13,98.96,117.94,499.76,101.29,92.38,98.41,101.19,97.51,107.16,102.48,102.84,98.47
0015,109.77,113.27,97.57,98.58,96.15,127.39,135.39,129.75,531.35,117.38,389.89,95.39,109.26,418.54,108.7,98.06,96.14,98.86,106.59,110.56,103.4,94.41,182.56,96,110.58,97.45,106.3,100.46,97.34,674.84,98.38,107.87,97.95,96.43,101.7,99,100.01,100.64,118.25,632.91,721.14,97.38,110.65,100.45,106.56,761.19,118.73,98.82,100.1,103.01,104.17,138.14,104.34,100.14,95.77,90.46,686.28,98.46,98.26,109.59,93.99,96.11,94.76,100.2,103.23,97.87,111.95,95.72,129.18,565.33,647.97,88.51,103.31,94.08,108.69,111.45,104.13,100.41,104.06,102.87,106.67,488.85,100.73,99.1,93.96,440.28,97.26,826.05,109.71,107.84
0016,100.2,99.29,100.27,98.98,102.52,135.02,132.83,129.81,93.22,98.07,102.1,96.85,107.28,102.42,99.32,104.92,106.95,98.56,112.02,105.41,100,96.67,97.73,98.18,99.11,106.82,103.68,101.01,101.99,99.96,102.28,102.18,110.7,105.92,101.36,100.68,93.23,109.93,103.67,112.86,721.85,101.28,116.02,103.33,100.75,492.72,93.91,105.39,104.74,107.17,94.91,117.52,98.11,101.29,101.76,96.94,102.11,93.37,98.29,106.78,90.35,104.12,464.93,95.87,97.87,105.69,121.27,108.24,150.52,526.58,143.31,86.25,100.26,107.22,97.37,114.33,94.2,527.12,609.69,112.88,118.25,98.67,952.82,110.13,112.05,533.68,95.69,724.78,108.41,94.75
0017,1190.6,100.15,100.01,101.46,99.47,134.84,131.03,145.44,99.15,100.14,588.55,104.1,97.72,94.66,328.33,284.55,104.85,93.75,112.32,127.02,103.61,99.49,99.17,104.65,96.2,94.87,100.14,95.45,97.06,97.42,610.18,102.07,667,599.21,98.26,96.2,99.47,96.94,114.62,102.32,106.46,122.82,104.56,818.38,102.76,106.32,97.53,102.68,103.6,98.01,94.31,127.3,100.12,103.55,103.48,95.96,96.37,93.22,101.29,101.71,95.08,94.8,99.16,117.73,492.55,96.61,95.68,93.63,169.33,562.25,137.07,92.3,100.72,106.82,108.22,113.06,95.25,97.36,102.21,119.76,100.28,98.85,109.89,99.98,102.21,469.05,101.46,164.75,1100,104.03
0018,487.5,103.23,102.8,107.14,100.4,144.52,136.95,148.42,94.85,98.66,103.48,464.63,106.17,118.15,95.62,102.3,104.75,94.09,583.45,102.46,107.85,101.25,113.01,113.47,93.72,99.32,99.83,108.33,111.99,98.97,92.24,104.24,108.37,97.7,102.32,95.92,96.72,701.41,114.43,105.15,95.91,96.91,93.22,103.11,1553.5,95.44,116.58,102.32,105.93,111.65,95.84,595.24,113.5,104.34,101.53,104.1,104.85,103.58,99.38,105.15,100.54,107.73,118.13,123.09,114.05,99.78,111.22,93.3,741.08,133.13,140.52,98.31,102.04,97.19,99.09,105.56,115.07,100.39,97.1,93.4,95.87,425.42,109.56,96.51,105.88,110.15,100.58,101.72,102.71,98.99
